Komentar_Bersih,Sentiment
jaringan dengan kualitas yang buruk dapat menghambat pekerjaan yang menggunakan akses internet,Negative
sangat lambat,Negative
jaringan internet tidak merata hanya di bagian pantai saja yang ada,Negative
kurang memuaskan,Negative
jaringan di desa kolak itu sangat lambat,Negative
belum bisa di bilang bagus karena masih sering hilang jaringan,Negative
masih belum maksimal di beberapa desa yang ada di bangkep,Negative
semoga cepat terselesaikan masalah jaringn apalagi di daerah pelosok,Positive
masih sangat tidak bagus karena kualitas nya tidak stabil,Negative
menurut saya jaringan internet di banggai kepulauan khusus di kota salakan saat ini sudah lebih baik di banding tahun sebelumnya akan tetapi yang menjadi keluhan kami serta masyarakat terkait jaringan internet belum dapat di akses disebagian besar wilayah banggai kepulauan,Negative
tidak stabil dan lambat,Negative
perlu ada perbaikan dari provider,Neutral
sinyal sering sekali hilang dan kadang perlu di titik lokasi tertentu untuk mendapatkan sinyal,Negative
jaringan sering hilang berjam,Negative
lakukan pemantauan secara berkala,Neutral
selalu lambat dan tidak stabil dari waktu ke waktu sejak kejadian gempa palu tidak ada keterangan dari pemerintah sampai saat ini kenapa ada hal tersebut mohon ditindaklanjuti,Negative
lambat,Negative
lambat sekali jaringan suka tidak stabil,Negative
perlu diperbaharui suka lambat jaringan,Negative
jaringan internet agak lambat,Negative
jaringan sangat lambat apalagi kalau mati lampu,Negative
masalahnya tower ada tetapi tidak ada sinyal,Negative
sangat buruk harus ke pantai dulu baru bisa internetan itupun di pantai masih sering gangguan,Negative
untung nama tinggal di sebelah bangunan tower tetapi tetap lambat,Positive
jaringan sering bermasalah di waktu waktu tertentu apalagi di saat cuaca kurang baik misalnya hujan deras atau berangin,Negative
kualitas sinyal area tempat tinggal saya sangat minim bahkan sering hilang padahal letaknya kurang dari meter sebagian besar area di desa tidak terjangkau jaringan yang memadai,Negative
pendapat khususnya pribadi saya agar petugas perusahaan agar selalu mengontrol akses jaringan yang ada dkab bangkep ini khusnya di desa binuntuli agar kami terlayani dengan pelayanan jaringan yang lebih baik lagi,Neutral
tiba tiba hilang jaringan telkomselbyu,Neutral
masih terbilang baik cuma kalau bisa jangan cuma di jam sibuk,Negative
tolong diperbaiki kualitas jaringan internetnya,Neutral
jaringan enggak yang sangat lambat seringkali menghalangi pekerjaan,Negative
sering lambat semoga kedepan lebih bagus apalagi kalau kerja,Positive
jaringan data ini sangat lambat dan lambat akibatnya siswa yang menggunakan internet sebagai referensi pembelajaran menjadi terhambat dan hanya terfokus pada buku cetak saja,Negative
untuk operator telkomsel jika menggunakan jaringan enggak masih sangat lambat,Neutral
perbaiki kualitas jaringan,Positive
jaringan lambat hilang timbul,Negative
jaringan lambat hilang timbul,Negative
desa kami sudah memiliki tower jaringan internet tetapi tetap lambat,Neutral
di wilayah saya terutama di desa bulungkobit sinyal sering hilang,Neutral
lebih diperhatikan lagi tentang jaringan yang hilang di waktuwaktu sibuk,Negative
kualitas jaringan di daerah saya masih buruk sering putus putus,Negative
internet di banggai kepulauan masih sangat buruk perlu banyak perbaikan,Negative
kualitas jaringan di kampung membuat saya emosional karena sering tidak stabil,Negative
sangat jelek,Negative
kualitas jaringan kurang baik,Negative
kualitas jaringan kurang cepat dan sering tidak terhubung,Negative
lemah susah mengakses internet sering hilang sinyal,Negative
koneksi internet yang lambat sangat mengganggu pekerjaan saya,Negative
internet tidak stabil terutama di siang hari,Negative
jaringan internetnya agar lebih di tingkatkan kestabilannya dan untuk wilayah tinangkung utara jaringan internet biasanya hilang ketika mati lampu pln,Neutral
kualitas melalui provider kurang baik sehingga harus menggunakan sambungan jaringan melalui wifi,Negative
kualitas jaringan sangat bagus kalau di desa sambulangan,Positive
kualitas jaringan di daerah saya cukup memprihatinkan sinyal sering lemah dan putus putus terutama di area pedesaan kecepatan internet juga cenderung lambat membuat aktivitas online menjadi tidak efisien banyak waktu terbuang karena harus menunggu loading atau mengalami gangguan saat melakukan panggilan peningkatan infrastruktur jaringan sangat diharapkan untuk memperbaiki kualitas layanan ini,Negative
internet sering terputus tanpa alasan jelas,Negative
untuk akses internet di daerah saya jaringan sangat terbatas,Neutral
sinyal hilang saat malam hari sangat mengganggu,Negative
layanan internet perlu peningkatan agar tidak menghambat komunikasi,Neutral
jaringan tidak dapat diandalkan sering mengganggu kegiatan sehari hari,Negative
kualitas jaringan di desa akan kecamatan tinangkung sangat mengecewakan,Negative
koneksi enggak di daerah saya sangat lambat,Negative
koneksi internet hanya bisa lancar di pagi hari selebihnya lambat,Negative
kalau cuaca buruk jaringan langsung hilang sama sekali,Negative
internet sering macet apalagi saat musim hujan,Negative
saya berharap ada peningkatan kualitas jaringan internet di desa saya,Neutral
kualitas jaringan internet di wilayah kabupaten banggai kepulauan khususnya wilayah peling tengah desa popisi masih kurang lancar karena disaat para pengguna internet melakukan login di internet itu masih lambat sehingga memperlambat proses untuk komunikasi dan pengiriman data,Neutral
kualitas kurang,Negative
jaringan internet lambat dan hilang total,Negative
jaringan internet telkomsel bakti sering hilang di musim hujan,Neutral
jaringan di wilayah ini sangat buruk,Negative
sinyal sering hilang meskipun berada dekat tower,Negative
tidak ada sinyal saat cuaca buruk perlu ada perbaikan,Neutral
tiba tiba hilang koneksi internet dan waktu untuk sinyal normal kembali sangat lama,Negative
jaringan telkomsel sangat lambat di daerah saya membuat frustrasi,Negative
internet jadi tidak stabil ketika banyak orang mengaksesnya,Negative
sinyal sering turun sangat mempengaruhi kegiatan saya,Negative
sangat buruk jaringannya,Negative
bandwidth sangat terbatas membuat sulit bekerja,Negative
jaringannya lambat apalagi saat telponan dan semoga kedepannya bisa di perbaiki lebih baik lagi,Negative
jaringan tidak bisa telepon biasa cek pulsa dan lain sebagainya dan jaringan internet sangat lambat,Negative
harapannya ke depan ada tambahan tower untuk memperbaiki sinyal,Neutral
jaringan sering hilang mengganggu proses belajar online saya,Negative
wifi lokal juga sering tidak stabil membutuhkan perhatian lebih,Negative
buruk,Negative
khususnya di daerah saya tepatnya di desa mata jaringannya seringkali bermasalah jaringan kadang putus menyambung kecepatan internet yang lambat sehingga tidak dapat mengakses internet sama sekali bahkan untuk mengirimmenerima pesan saja membutuhkan waktu yang cukup lama keluhankeluhan ini tentunya sangat mengganggu aktivitas sehari hari terutama bagi masyarakat yang bergantung pada internet untuk bekerja belajar atau berkomunikasi dengan keluarga,Negative
jaringan kadang hilang walaupun cuaca baik apalagi cuaca buruk,Negative
sangat buruk layanan internet di kabupaten banggai kepulauan sudah di luar batas kewajaran apalagi di saat musin hujan kondisi makin seram dan parah,Negative
sangat buruk,Negative
kualitas jaringan internet yang ada di banggai kepulauan sangat kurang baik sehingga saya pribadi menyarankan kepada pemerintah agar ada tindakan cepat untuk menangani hal tersebut mengingat sekarang mayoritas penduduk di banggai kepulauan ratarata mempunyai handphone dan mereka sangat membutuhkan kualitas jaringan internet yang baik untuk digunakan mohon agar segera di tindakalanjuti terkait masalah ini,Negative
kualitas jaringan di kabupaten banggai kepulauan terutama di desa mansamat biasanya sangat kurang bagus saya perantau dari kabupaten tojo una yang notabene jaringan ditempat tinggal saya sebelumnya bisa dikatakan jauh lebih baik dari pada di tempat saya tinggal sekarang bahkan ketika ada pekerjaan yang masuk diemail saya harus ke dermaga hanya untuk mendapatkan jaringan yang bagus karena jika di akses di rumah jaringan internetnya hampir tidak ada dan juga terkadang jaringan telepon saja masih terlalu kurang bagus,Negative
sangat lambat,Negative
menurut pandangan saya bahwa kualitas jaringan internet ataupun jaringan telkomsel yang ada di desa kami desa osan sudah tidak stabil dilapangan meskipun pada faktanya enggak akan tetapi tidak bisa mengakses internet ini adalah sebuah masalah besar yang seringkali menghambat aktivitas masyarakat,Negative
jaringan internet didaerah saya sering hilang dan lama sekali jaringan bisa di gunakan kembali,Negative
sinyal yang lambat sangat mengganggu saat video call,Negative
jaringan internet hanya dapat digunakan dengan sangat terbatas,Neutral
kecepatan internet perlu ditingkatkan agar tidak mengganggu produktivitas,Neutral
jaringan sering terputus di beberapa titik di desa saya,Negative
kualitas sinyal yang buruk membuat saya tidak dapat berkomunikasi dengan baik,Negative
tidak bagus jaringan tidak stabil,Negative
sering hilang total,Negative
terlalu lemah jaringan di wilayah bulagi selatan,Negative
pendapat atau keluhan saya kualitas jaringan internet di kabupaten banggai kepulauan belum bisa dikatakan baik karena masih banyak desa desa yang belum ada jaringannya apa lagi jaringan internet yang dimana sekarang sudah sistem digital sekolahsekolah kantor dan masyarakat sangat membutuhkan jaringan internet,Negative
kualitas sudah baik,Positive
jaringan internet di tempat kami masih sangat susah sehingga kami sangat lambat untuk menerima informasi,Negative
mengakses internet lambat dan biasanya gangguan saat menelfon,Negative
jaringan lambat gangguan saat menelpon mengirim data dalam bentuk dokumen pdf video dan lainnya prosesnya sangat lama,Negative
kualitas buruk,Negative
masih terdapat blank spot,Neutral
jaringan internet didesa bonepuso tidak bisa diakses dan jaringan biasa telepon tidak bisa digunakan hanya untung nama ada tower tetapi tidak bisa digunakan hanya sms saja yang bisa digunakan,Neutral
jaringan internet hilang berhari sering juga jaringan lambat,Negative
kita disini kerja butuh jaringn buat absensi terus kalau ingin skrining bpjs juga harus pakai internet,Neutral
jaringan yang ada di wilayah saya selalu bermasalah karena hanya menggunakan tenaga surya selalu batery lemah,Negative
saat listrik padam sinyal juga ikutan lambat,Negative
mohon di perbaiki tower telkomselnya yang tidak berfungsi lagi,Neutral
jaringan sering hilang dan jaringan lambat alias lambat,Negative
mohon perbaikan tower telekomsel yang tidak berfungsi lagi,Neutral
jaringan belum merata bahkan dalam kota salakan ada daerah atau lokasi yang belum bisa maksimal masuk signal,Neutral
saat lampu padam sinyalpun ikut hilang,Negative
pendapat saya terkait jaringan internet di daerah saya itu karena bertambah nya jumlah penduduk yang mengakses sehingga mengakibatkan jaringan menjadi lambat sekali,Negative
kualitas jaringan internet telkomsel di banggai kepulaun khususnya tempat tinggal saya di desa baka kurang baik internetnya sangat lambat kualitas sinyalnya juga kurang bagus,Negative
kualitas jaringan di desa saya tergantung tempat tidak semua tempat dapat jaringan jadi tolong di bantu akan tower di desa kami kasihan,Negative
kualitas jaringan masih sering lambat apalagi mengakses internet ini masih sering terjadi di tempat sayaada beberapa tempat yang lancar sinyal tetapi di beberapa tempat sama sekali tidak bisa mengakses internet terutama di rumah saya jaringan sangat sangat lambat,Negative
kualitas jaringan pada tempat saya tinggal ini masih bisa di bilang agak susah karena keberadaan tower yang jauh dari jangkauan dan keseringan mati lampu sehingga tower milik mesin ikut mati,Negative
sering lambat atau lambat saat membuka atau mendownload file,Negative
cukup bagus hanya beberapa daerah di luar kota salakan masih terbilang cukup buruk,Positive
sangat buruk karena sering error,Negative
beberapa masalah yang sering terjadi adalah koneksi yang tidak stabil kecepatan yang lambat dan seringnya terjadi gangguan,Negative
jaringan di desa saya sangat jelek tidak bisa di pergunakan untuk menelpon biasa jaringan internetnya sering hilang dan sangat lemot lambat,Negative
jaringan internet lambat loding,Negative
jaringan internet lambat dan kalau saling telepon suara timbul tenggelam,Negative
kualitas jaringan dikampung saya sangatlah tidak bagus saking susahnya untuk keperluan saya seperti ingin mendaftar online pekerjaanpun harus pergi ke kampung sebelah untuk membuka link pendaftaran serta melakukan pendaftaran ditambah lagi link pendaftaran yang biasanya di akses nanti sekitar jam bahkan sampai jam malam karena pada waktu tersebut link pendaftarannya bisa terbuka,Negative
jaringan tidak bagus,Negative
jauh dari tower pemancar,Neutral
jaringan sangat lambat,Negative
sangat buruk khususnya desa paisubatu,Negative
buruk,Negative
jaringan belum ada masuk untuk desa palabatu ii,Neutral
menurut saya jaringan yang sekarang kami rasakan sangat tidak bagus di gunakan di karenakan dalam mengakses internet dan menelfon sangat buruk,Negative
jaringannya terkadang lambat saja pengin dinas kominfo segera berbenah dan memperbanyak tower tower jaringan,Neutral
baik,Positive
kualitas sinyal lambat dan sering hilang,Negative
sering ngelag kadang tiba tiba sinyal hilang dari batang ke batang,Negative
jaringannya lambat banget saja tiap main ml ngeleg banget ini dari pemerintah daerah pemerintah provinsi tidak pernah perhatikan jaringan di liang bajo semoga kedepannya dari pemrov dan pemkab bisa lebih memperhatikan kita di kabupaten banggai kep,Negative
dana desa ini di korupsi nih masa kita bayar pajak tapi jaringan lambat terus macam nih,Negative
menurut saja aman saja sih saat ini di pagi hingga malam jam dan jadi menurut sudah bagus jaringan di salakan,Positive
sejak di buat tower jaringan dibangunemo tidak pernah jaringannya stabil bahkan pengaduan hanya di anggap angin lalu saja dan tidak ditanggapi dengan serius untuk itu beberapa masukan dilakukan perbaikan sistem pada jaringan bakti didesa bangunemo bila ada keluhan segera ditindaklanjuti,Negative
jaringan internet lambat hampir setiap hari kami yang sebagian anak rantau setengah mati untuk melakukan komunikasi dengan keluarga di kampung,Negative
jaringan disini tidak baik nanti di tempat tempat tertentu baru ada jaringannya dan itupun biar ada tetapi masih saja tidak bagus selalu koneksi lambat saat telfonan atau menonton intinya jaringan di desa bangunemo masih kurang baik,Negative
menurut saya jaringan di desa bangunemo harus lebih diperhatikan supaya bisa menjadi lebih baik lagi karena ketika saya kehabisan paket kuota internet maka saya harus pergi membuat paket kuota internet di desa sebelah dikarenakan di desa bangunemo belum bisa mendaftar paket kuota internet,Neutral
jaringan di desa bangunemo sangat lambat kami sebagai mahasiswa yang berkuliah online sangat membutuhkan jaringan yang bagus untuk memperlancar perkuliahan,Negative
tolong di perbaiki towernya,Neutral
jaringan sangat lambat,Negative
jaringan hilangdan lambat,Negative
lambat,Negative
lambat kadang hilang jaringan,Negative
jaringan sering hilang,Negative
jaringan di desa bangunemo bulagi utara biasanya dari pagi sampa pukul wita tidak bisa akses internet dan ini sudah terjadi setiap hari,Neutral
semoga cepat di perbaiki,Neutral
jaringannya lambat macam tahi telkomsel berbenah lah jaringan mu,Negative
sinyal buruk sinyal hilang total sinyal jelek saya seringkali merasa bosan karena tidak bisa bermain sosial media ketika jaringan sedang gangguan,Negative
menurut saya kualitas jaringan yang ada di desa lalong saat ini sudah lumayan baik jika dibandingkan dengan tahuntahun sebelumnya hanya saja terkadang untuk panggilan telepon biasa masih sering terjadi gangguan seperti panggilan tidak masuk dan suara terdengar putus putus saat bicara,Negative
jangankan jaringan internet jaringan biasa tidak ada,Neutral
tolong lah dibenerin jaringan nya karena saya sering menggunakan jaringan internet di malam hari untuk kerjain tugas sekolah bahkan ngelek ngelek begini,Negative
ya saya hanya berharap pemerintah daerah bisa menangkap aspirasi ini saya cuman berharap agar jaringan di desa saya bisa lancar karena saya sendiri kadang untuk ngerjain tugas sekolah,Neutral
pembangunan di kecamatan saya masih sangat tertinggal di bandingkan kecamatan lainnya jadi semoga pemerintah daerah dari bupati bisa melakukan pembangunan yang merata dan kita bisa dapat akses yang sama dengan daerah daerah lainnya,Positive
dari dulu ini saya rasa jaringan begini begini melulu e tidak ada perubahan begitu kah,Negative
walaupun jaringan jelek kadang kadang tapi sangat menganggu sekali orang lagi main games kadang ping bisa merah kuning jadi semoga ada pembagusan kedepannya,Negative
di waktu siang hari sampai sore sering banget ngeleg apa e niat ingin ingin untuk games kadang ping tinggi banget,Negative
jaringan ngeleg banget mana menonton youtube saja muter muter padahal cuman resolusi,Negative
jaringan lambat banget semoga ada cepat perbaikan jaringan begitu,Negative
semoga ada perbaikan jaringan disini,Neutral
pemerintah cobalah turun ke lapangan macam di kantor melulu jaringan sini dari dulu jelek,Negative
jaringan telepon hilang hilang dan jaringan internet lambat kadangkala hilang jaringan internet,Negative
jaringan di lokasi tempat tinggal saya memiliki kualitas jaringan yang buruk setiap saat yang mana mengganggu kualitas pengalaman saya dalam menggunakan jaringan ini,Negative
kalau menonton sering lambat,Negative
jaringan sangat lambat pada saat di butuhkan tiba tiba jaringan hilang menyebabkan kegiatan kadangkadang terhambat sehingga harus cari tempat yang jaringannya bagus untuk bisa kerjakan tugas,Negative
menurut kualitas jaringan internet di kampung masih kurang bagus apalagi pada saat musim hujan mendatang meskipun begitu setidaknya sudah lebih baik dari beberapa tahun kemarin,Positive
untuk jaringan bgian tompudau khususnya bagian rsud salakan belum terlalu bagus lambat sekali,Negative
kalau mati lampu jaringan juga lambat bahkan sampai hilang,Negative
menurut saya kualitas jaringan di desa kami sangatburuk bahkan masyarakat sampai harus bersusah payah mencari jaringan di pinggir pantai untuk mengakses internet bahkan mencari informasi padahal tower sudah ada tetapi tidak berfungsi dengan baik,Negative
pembangunan tower batas bakti sangat membantu kami mengakses internet,Positive
sinyal sekarang lebih baik dibanding tahun lalu walapun terkadang lambat di saat jam jam kerja,Positive
